active ingredients	drug ID	drug label	disease name	disease ID	disease label	indication	drug|disease	original source text	contraindication
RISDIPLAM	UNII:76RS4S2ET1	Risdiplam	SPINAL MUSCULAR ATROPHY	MONDO:0001516	spinal muscular atrophy	True	MONDO:0001516|UNII:76RS4S2ET1		False
ECULIZUMAB	UNII:A3ULP0F556	Eculizumab	ATYPICAL HAEMOLYTIC UREMIC SYNDROME (AHUS)	MONDO:0001549	hemolytic-uremic syndrome	True	MONDO:0001549|UNII:A3ULP0F556		False
N/A FOR THIS COMBINATION DRUG	DRUGBANK:DB00083	Botulinum toxin type A	HYPERCALCEMIA	MONDO:0001566	hypercalcemia disease	True	MONDO:0001566|DRUGBANK:DB00083		False
RECOMBINANT RESPIRATORY SYNCYTIAL VIRUS PREF3 ANTIGEN	DRUGBANK:DB18714	Recombinant stabilized RSV B prefusion F antigen	RESPIRATORY SYNCYTIAL VIRUS (RSV) INFECTION	MONDO:0001577	respiratory syncytial virus infectious disease	True	MONDO:0001577|DRUGBANK:DB18714		False
"RESPIRATORY SYNCYTIAL VIRUS-A PREFUSION F PROTEIN
RESPIRATORY SYNCYTIAL VIRUS-B PREFUSION F PROTEIN"	DRUGBANK:DB18714	Recombinant stabilized RSV B prefusion F antigen	RESPIRATORY SYNCYTIAL VIRUS INFECTION	MONDO:0001577	respiratory syncytial virus infectious disease	True	MONDO:0001577|DRUGBANK:DB18714		False
PEGFILGRASTIM	UNII:3A58010674	Pegfilgrastim	BRAIN CANCER	MONDO:0001657	brain cancer	True	MONDO:0001657|UNII:3A58010674		False
{'OXYTETRACYCLINE'}	CHEBI:133011	oxytetracycline	CHANCROID	MONDO:0001797	chancroid	True	MONDO:0001797|CHEBI:133011		False
{'FOLIC ACID'}	CHEBI:27470	Folic acid	MEGALOBLASTIC ANEMIAS DUE TO A DEFICIENCY OF FOLIC ACID	MONDO:0001860	folic acid deficiency anemia	True	MONDO:0001860|CHEBI:27470		False
PREGABALIN	CHEBI:64356	Pregabalin	GENERALISED ANXIETY DISORDER	MONDO:0001942	generalized anxiety disorder	True	MONDO:0001942|CHEBI:64356		False
ILOPROST	CHEBI:63916	Iloprost	PRIMARY PULMONARY HYPERTENSION	MONDO:0001999	primary pulmonary hypertension	True	MONDO:0001999|CHEBI:63916		False
AVATROMBOPAG MALEATE	UNII:GDW7M2P1IS	AVATROMBOPAG MALEATE	THROMBOCYTOPENIA	MONDO:0002049	thrombocytopenia	True	MONDO:0002049|UNII:GDW7M2P1IS		False
{'LORAZEPAM'}	CHEBI:6539	Lorazepam	STATUS EPILEPTICUS	MONDO:0002125	status epilepticus	True	MONDO:0002125|CHEBI:6539		False
{'DIFLORASONE'}	CHEBI:31483	diflorasone diacetate	CORTICOSTEROID RESPONSIVE DERMATOSES	MONDO:0002137	noninfectious dermatoses of eyelid	True	MONDO:0002137|CHEBI:31483		False
{'DIFLORASONE'}	CHEBI:31483	diflorasone diacetate	CORTICOSTEROID RESPONSIVE DERMATOSES	MONDO:0002137	noninfectious dermatoses of eyelid	True	MONDO:0002137|CHEBI:31483		False
{'BETAMETHASONE'}	CHEBI:3077	Betamethasone	CORTICOSTEROID-RESPONSIVE DERMATOSES	MONDO:0002137	noninfectious dermatoses of eyelid	True	MONDO:0002137|CHEBI:3077		False
{'DIFLORASONE'}	CHEBI:31483	diflorasone diacetate	CORTICOSTEROID-RESPONSIVE DERMATOSES	MONDO:0002137	noninfectious dermatoses of eyelid	True	MONDO:0002137|CHEBI:31483		False
{'MOMETASONE'}	CHEBI:6970	Mometasone	CORTICOSTEROID-RESPONSIVE DERMATOSES	MONDO:0002137	noninfectious dermatoses of eyelid	True	MONDO:0002137|CHEBI:6970		False
{'METRONIDAZOLE'}	CHEBI:6909	Metronidazole	TRICHOMONIASIS	MONDO:0002154	trichomoniasis	True	MONDO:0002154|CHEBI:6909		False
{'METRONIDAZOLE'}	CHEBI:6909	Metronidazole	TRICHOMONIASIS	MONDO:0002154	trichomoniasis	True	MONDO:0002154|CHEBI:6909		False
BEVACIZUMAB	UNII:2S9ZZM9Q9V	Bevacizumab	FALLOPIAN TUBE CANCER	MONDO:0002158	fallopian tube cancer	True	MONDO:0002158|UNII:2S9ZZM9Q9V		False
RUCAPARIB	CHEBI:134689	Rucaparib	FALLOPIAN TUBE CANCER	MONDO:0002158	fallopian tube cancer	True	MONDO:0002158|CHEBI:134689		False
{'LOMEFLOXACIN'}	CHEBI:116278	Lomefloxacin	ACUTE MAXILLARY SINUSITIS	MONDO:0002186	acute maxillary sinusitis	True	MONDO:0002186|CHEBI:116278		False
{'FOLIC ACID'}	CHEBI:27470	Folic acid	ANEMIA OF CHILDHOOD	MONDO:0002280	anemia	True	MONDO:0002280|CHEBI:27470		False
AFLIBERCEPT	UNII:15C2VL427D	Aflibercept	VISUAL IMPAIRMENT DUE TO MACULAR OEDEMA SECONDARY TO RETINAL VEIN OCCLUSION (BRANCH RVO OR CENTRAL RVO)	MONDO:0002303	central retinal vein occlusion	True	MONDO:0002303|UNII:15C2VL427D		False
HUMAN PROTEIN C	CHEBI:5931	insulin human	THROMBOPHILIA	MONDO:0002305	thrombophilia	True	MONDO:0002305|CHEBI:5931		False
{'NEOMYCIN', 'POLYMYXIN B', 'BACITRACIN'}	RXCUI:374806	bacitracin / hydrocortisone / neomycin / polymyxin B Ophthalmic Ointment	BLEPHAROCONJUNCTIVITIS	MONDO:0002307	blepharoconjunctivitis	True	MONDO:0002307|RXCUI:374806		False
{'MEDRYSONE'}	CHEBI:34829	Medrysone	VERNAL CONJUNCTIVITIS	MONDO:0002313	vernal conjunctivitis	True	MONDO:0002313|CHEBI:34829		False
{'TROVAFLOXACIN'}	CHEBI:9763	Trovafloxacin	COMPLICATED INTRA-ABDOMINAL INFECTIONS	MONDO:0002337	intra-abdominal hemangioma	True	MONDO:0002337|CHEBI:9763		False
GIVOSIRAN SODIUM	UNII:ROV204583W	Givosiran	ACUTE HEPATIC PORPHYRIA	MONDO:0002520	hepatic porphyria	True	MONDO:0002520|UNII:ROV204583W		False
{'BACLOFEN'}	CHEBI:187893	Baclofen	SPINAL CORD DISEASES	MONDO:0002545	spinal cord disorder	True	MONDO:0002545|CHEBI:187893		False
{'BACLOFEN'}	CHEBI:187893	Baclofen	SPINAL CORD DISEASES	MONDO:0002545	spinal cord disorder	True	MONDO:0002545|CHEBI:187893		False
CLAZOSENTAN SODIUM	PUBCHEM.COMPOUND:51346597	Clazosentan sodium	CEREBRAL INFARCTION	MONDO:0002679	cerebral infarction	True	MONDO:0002679|PUBCHEM.COMPOUND:51346597		False
{'TOLAZAMIDE'}	CHEBI:9613	Tolazamide	HYPERGLYCEMIA	MONDO:0002909	hyperglycemia	True	MONDO:0002909|CHEBI:9613		False
CARMUSTINE	CHEBI:3423	Carmustine	BRAIN-STEM GLIOMAS	MONDO:0002911	brain stem glioma	True	MONDO:0002911|CHEBI:3423		False
CEMIPLIMAB 	UNII:6QVL057INT	Cemiplimab	CERVICAL CANCER (ADVANCED OR RECURRENT)	MONDO:0002974	cervical cancer	True	MONDO:0002974|UNII:6QVL057INT		False
{'HYDROCORTISONE', 'NEOMYCIN', 'POLYMYXIN B', 'BACITRACIN'}	RXCUI:374806	bacitracin / hydrocortisone / neomycin / polymyxin B Ophthalmic Ointment	CORNEAL INFLAMMATION	MONDO:0003085	keratitis	True	MONDO:0003085|RXCUI:374806		False
{'FLUOROMETHOLONE'}	CHEBI:31625	Fluorometholone	CORTICOSTEROID-RESPONSIVE INFLAMMATION OF THE CORNEA	MONDO:0003085	keratitis	True	MONDO:0003085|CHEBI:31625		False
{'CHLORAMPHENICOL'}	CHEBI:3605	Chloramphenicol palmitate	KERATITIS	MONDO:0003085	keratitis	True	MONDO:0003085|CHEBI:3605		False
{'NEOMYCIN', 'POLYMYXIN B', 'BACITRACIN'}	RXCUI:374806	bacitracin / hydrocortisone / neomycin / polymyxin B Ophthalmic Ointment	KERATITIS	MONDO:0003085	keratitis	True	MONDO:0003085|RXCUI:374806		False
{'CHLORAMPHENICOL'}	CHEBI:3605	Chloramphenicol palmitate	CONJUNCTIVITIS	MONDO:0003799	conjunctivitis	True	MONDO:0003799|CHEBI:3605		False
{'NEOMYCIN', 'POLYMYXIN B', 'BACITRACIN'}	RXCUI:374806	bacitracin / hydrocortisone / neomycin / polymyxin B Ophthalmic Ointment	CONJUNCTIVITIS	MONDO:0003799	conjunctivitis	True	MONDO:0003799|RXCUI:374806		False
{'SULFACETAMIDE'}	CHEBI:9327	Isopto cetamide	CONJUNCTIVITIS	MONDO:0003799	conjunctivitis	True	MONDO:0003799|CHEBI:9327		False
{'MEDRYSONE'}	CHEBI:34829	Medrysone	EPINEPHRINE SENSITIVITY	MONDO:0004059	dentin sensitivity	True	MONDO:0004059|CHEBI:34829		False
BLINATUMOMAB	UNII:4FR53SIF3A	Blinatumomab	B-PRECURSOR ALL (REFRACTORY OR IN RELAPSE)	MONDO:0004110	refractory hairy cell leukemia	True	MONDO:0004110|UNII:4FR53SIF3A		False
{'OXYTETRACYCLINE'}	CHEBI:133011	oxytetracycline	GONOCOCCAL INFECTIONS	MONDO:0004277	gonorrhea	True	MONDO:0004277|CHEBI:133011		False
{'CEFTIZOXIME'}	CHEBI:553473	Ceftizoxime	GONORRHEA	MONDO:0004277	gonorrhea	True	MONDO:0004277|CHEBI:553473		False
{'CEFTIZOXIME'}	CHEBI:553473	Ceftizoxime	GONORRHEA	MONDO:0004277	gonorrhea	True	MONDO:0004277|CHEBI:553473		False
