disease IDs	disease ID labels	list of diseases	active ingredients in therapy	drug ID	drug ID Label	drug|disease	inferred_from_mondo
HP:0002027	Abdominal pain	MODERATE TO SEVERE PAIN	{'MEPERIDINE'}	CHEBI:6754	Meperidine	HP:0002027|CHEBI:6754	False
HP:0002027	Abdominal pain	MODERATE TO SEVERE PAIN	{'MORPHINE'}	CHEBI:7003	morphine sulfate	HP:0002027|CHEBI:7003	False
HP:0002027	Abdominal pain	MODERATE TO SEVERE PAIN (REQUIRING CONTINUOUS	{'MORPHINE'}	CHEBI:7003	morphine sulfate	HP:0002027|CHEBI:7003	False
HP:0002027	Abdominal pain	PAIN (MILD-TO-MODERATE)	{'PROPOXYPHENE', 'ACETAMINOPHEN'}	CHEBI:46195	Acetaminophen	HP:0002027|CHEBI:46195	False
HP:0002027	Abdominal pain	SOMATIC POSTOPERATIVE PAIN	BUPIVACAINE, MELOXICAM	RXCUI:2560233	bupivacaine / meloxicam Injectable Product	HP:0002027|RXCUI:2560233	False
HP:0002069	Bilateral tonic-clonic seizure	TONIC-CLONIC SEIZURE	PERAMPANEL HYDRATE	CHEBI:71015	perampanel hydrate	HP:0002069|CHEBI:71015	False
HP:0002140	Ischemic stroke	ISCHAEMIC STROKE	CLOPIDOGREL	CHEBI:3759	Plavix	HP:0002140|CHEBI:3759	False
HP:0002140	Ischemic stroke	ISCHEMIC STROKE	CLOPIDOGREL	CHEBI:3759	Plavix	HP:0002140|CHEBI:3759	False
HP:0002140	Ischemic stroke	MINOR ISCHEMIC STROKE (IS)	CLOPIDOGREL	CHEBI:3759	Plavix	HP:0002140|CHEBI:3759	False
HP:0002153	Hyperkalemia	HYPERKALEMIA	N/A FOR THIS COMBINATION DRUG	DRUGBANK:DB00083	Botulinum toxin type A	HP:0002153|DRUGBANK:DB00083	False
HP:0002625	Deep venous thrombosis	DEEP VEIN THROMBOSIS	DABIGATRAN ETEXILATE	CHEBI:70746	Dabigatran etexilate	HP:0002625|CHEBI:70746	False
HP:0002783	Recurrent lower respiratory tract infections	LOWER RESPIRATORY TRACT INFECTIONS	{'CEFTIZOXIME'}	CHEBI:553473	Ceftizoxime	HP:0002783|CHEBI:553473	False
HP:0002783	Recurrent lower respiratory tract infections	LOWER RESPIRATORY TRACT INFECTIONS	{'CEFTIZOXIME'}	CHEBI:553473	Ceftizoxime	HP:0002783|CHEBI:553473	False
HP:0002918	Hypermagnesemia	HYPERMAGNESEMIA	N/A FOR THIS COMBINATION DRUG	DRUGBANK:DB00083	Botulinum toxin type A	HP:0002918|DRUGBANK:DB00083	False
HP:0003124	Hypercholesterolemia	HYPERCHOLESTEROLEMIA	INCLISIRAN SODIUM	CHEBI:176399	Inclisiran	HP:0003124|CHEBI:176399	False
HP:0004308	Ventricular arrhythmia	VENTRICULAR ARRHYTHMIAS	{'SOTALOL'}	CHEBI:9207	sotalol hydrochloride	HP:0004308|CHEBI:9207	False
HP:0004388	Microcolon	DIAGNOSTIC/CONTRAST/RADIOLABEL	13C-UREA	CHEBI:16199	Urea	HP:0004388|CHEBI:16199	False
HP:0004388	Microcolon	DIAGNOSTIC/CONTRAST/RADIOLABEL	FLORBETABEN (18F)	CHEBI:79033	florbetaben F18	HP:0004388|CHEBI:79033	False
HP:0004388	Microcolon	DIAGNOSTIC/CONTRAST/RADIOLABEL	{'DIATRIZOATE'}	CHEBI:31812	diatrizoate meglumine	HP:0004388|CHEBI:31812	False
HP:0004388	Microcolon	DIAGNOSTIC/CONTRAST/RADIOLABEL	{'DIATRIZOIC ACID'}	UNII:9PCJ65W0EE	Diatrizoic acid I-125	HP:0004388|UNII:9PCJ65W0EE	False
HP:0004763	Paroxysmal supraventricular tachycardia	PAROXYSMAL SUPRAVENTRICULAR TACHYCARDIAS	{'VERAPAMIL'}	CHEBI:77733	Verapamil	HP:0004763|CHEBI:77733	False
HP:0004850	Recurrent deep vein thrombosis	RECURRENT DEEP VEIN THROMBOSIS	DABIGATRAN ETEXILATE	CHEBI:70746	Dabigatran etexilate	HP:0004850|CHEBI:70746	False
HP:0006682	Premature ventricular contraction	VENTRICULAR PREMATURE CONTRACTIONS	{'SOTALOL'}	CHEBI:9207	sotalol hydrochloride	HP:0006682|CHEBI:9207	False
HP:0007906	Ocular hypertension	INTRAOCULAR PRESSURE ELEVATION	{'CARBACHOL'}	CHEBI:3385	carbachol	HP:0007906|CHEBI:3385	False
HP:0007906	Ocular hypertension	OCULAR HYPERTENSION	RIPASUDIL HYDROCHLORIDE HYDRATE, BRIMONIDINE TARTRATE	CHEBI:3175	Brimonidine	HP:0007906|CHEBI:3175	False
HP:0010741	Pedal edema	EDEMA AND INFLAMMATION	{'HYDROCORTISONE', 'OXYTETRACYCLINE'}	CHEBI:133011	oxytetracycline	HP:0010741|CHEBI:133011	False
HP:0011123	Inflammatory abnormality of the skin	INFLAMMATORY CONDITIONS OF THE ANTERIOR SEGMENT OF THE GLOBE	{'FLUOROMETHOLONE', 'SULFACETAMIDE'}	RXCUI:1160825	fluorometholone / sulfacetamide Ophthalmic Product	HP:0011123|RXCUI:1160825	False
HP:0011885	Hemorrhage of the eye	AROUND-THE-CLOCK OPIOID THERAPY FOR AN EXTENDED PERIOD OF TIME)	{'MORPHINE'}	CHEBI:7003	morphine sulfate	HP:0011885|CHEBI:7003	False
HP:0012710	Ingrown nail	ONYCHOCRYPTOSIS (INGROWN TOENAIL)	ACETYLCYSTEINE	CHEBI:28939	Acetylcysteine	HP:0012710|CHEBI:28939	False
HP:0034315	Chronic cough	CHRONIC COUGH (REFRACTORY)	GEFAPIXANT CITRATE	UNII:DFK0FC2VVV	GEFAPIXANT CITRATE	HP:0034315|UNII:DFK0FC2VVV	False
HP:0040184	Oral bleeding	LIFE-THREATENING BLEEDING (FROM APIXABAN	ANDEXANET ALFA 	UNII:BI009E452R	Andexanet alfa	HP:0040184|UNII:BI009E452R	False
HP:0040184	Oral bleeding	UNCONTROLLED BLEEDING (FROM APIXABAN	ANDEXANET ALFA 	UNII:BI009E452R	Andexanet alfa	HP:0040184|UNII:BI009E452R	False
HP:0100534	Episcleritis	EPISCLERITIS	{'MEDRYSONE'}	CHEBI:34829	Medrysone	HP:0100534|CHEBI:34829	False
HP:0200026	Ocular pain	ACUTE POSTOPERATIVE OCULAR PAIN	PHENYLEPHRINE, KETOROLAC	CHEBI:6129	Ketorolac	HP:0200026|CHEBI:6129	False
MONDO:0000190	ventricular fibrillation	VENTRICULAR FIBRILLATION	{'SOTALOL'}	CHEBI:9207	sotalol hydrochloride	MONDO:0000190|CHEBI:9207	False
MONDO:0000328	hyperphosphatemia	HYPERPHOSPHATEMIA	{'CALCIUM ACETATE'}	CHEBI:3310	Calcium acetate	MONDO:0000328|CHEBI:3310	False
MONDO:0000450	secondary progressive multiple sclerosis	SECONDARY PROGRESSIVE MULTIPLE SCLEROSIS WITH ACTIVE DISEASE	INTERFERON BETA-1B	CHEBI:5938	Interferon beta-1b	MONDO:0000450|CHEBI:5938	False
MONDO:0000618	Her2-receptor negative breast cancer	HER2 NEGATIVE)	ELACESTRANT	CHEBI:229213	Elacestrant	MONDO:0000618|CHEBI:229213	False
MONDO:0000675	pain agnosia	ANALGESIA	{'PROMETHAZINE'}	CHEBI:8461	Promethazine	MONDO:0000675|CHEBI:8461	False
MONDO:0000755	ectopic pregnancy	PREGNANCY	MIFEPRISTONE MISOPROSTOL	CHEBI:50692	Mifepristone	MONDO:0000755|CHEBI:50692	False
MONDO:0000809	purpura fulminans	PURPURA FULMINANS	HUMAN PROTEIN C	CHEBI:5931	insulin human	MONDO:0000809|CHEBI:5931	False
MONDO:0000889	haemophilus meningitis	HAEMOPHILUS INFLUENZAE INFECTIONS (RESPIRATORY)	{'OXYTETRACYCLINE'}	CHEBI:133011	oxytetracycline	MONDO:0000889|CHEBI:133011	False
MONDO:0000889	haemophilus meningitis	INFECTIONS CAUSED BY HAEMOPHILUS INFLUENZAE TYPE B	"PROTECTIVE ANTIGEN OF BORDETELLA PERTUSSIS DIPHTHERIA TOXOID TETANUS TOXOID INACTIVATED POLIOVIRUS TYPES 1-3 (SABIN STRAIN)
HAEMOPHILUS INFLUENZAE TYPE B POLYSACCHARIDE- TETANUS TOXOID CONJUGATE"	UNII:C9R35M8XV6	Hiberix	MONDO:0000889|UNII:C9R35M8XV6	False
MONDO:0000889	haemophilus meningitis	INFECTIONS CAUSED BY HAEMOPHILUS INFLUENZAE TYPE B	PROTECTIVE ANTIGEN OF BORDETELLA PERTUSSIS DIPHTHERIA TOXOID TETANUS TOXOID INACTIVATED POLIOVIRUS TYPES 1-3 (SABIN STRAIN) HAEMOPHILUS INFLUENZAE TYPE B OLIGOSACCHARIDE - DIPHTHERIA CRM197 CONJUGATE	UNII:C9R35M8XV6	Hiberix	MONDO:0000889|UNII:C9R35M8XV6	False
MONDO:0000922	pelvic inflammatory disease	GYNECOLOGIC AND PELVIC INFECTIONS	{'TROVAFLOXACIN'}	CHEBI:9763	Trovafloxacin	MONDO:0000922|CHEBI:9763	False
MONDO:0000922	pelvic inflammatory disease	PELVIC INFLAMMATORY DISEASE	{'CEFTIZOXIME'}	CHEBI:553473	Ceftizoxime	MONDO:0000922|CHEBI:553473	False
MONDO:0000922	pelvic inflammatory disease	PELVIC INFLAMMATORY DISEASE	{'CEFTIZOXIME'}	CHEBI:553473	Ceftizoxime	MONDO:0000922|CHEBI:553473	False
MONDO:0000942	corneal disorder	INFLAMMATORY CONDITIONS OF THE CORNEA	{'FLUOROMETHOLONE', 'SULFACETAMIDE'}	RXCUI:1160825	fluorometholone / sulfacetamide Ophthalmic Product	MONDO:0000942|RXCUI:1160825	False
MONDO:0000979	pinta disease	"""HODGKIN’S DISEASE"""	CARMUSTINE	CHEBI:3423	Carmustine	MONDO:0000979|CHEBI:3423	False
MONDO:0000979	pinta disease	CROHN’S DISEASE	ADALIMUMAB	UNII:FYS6T7F842	Adalimumab	MONDO:0000979|UNII:FYS6T7F842	False
MONDO:0000979	pinta disease	CROHN’S DISEASE	INFLIXIMAB	UNII:B72HH48FLU	Infliximab	MONDO:0000979|UNII:B72HH48FLU	False
MONDO:0000979	pinta disease	HODGKIN’S DISEASE	CARMUSTINE	CHEBI:3423	Carmustine	MONDO:0000979|CHEBI:3423	False
MONDO:0001031	purulent acute otitis media	ACUTE OTITIS MEDIA CAUSED BY STREPTOCOCCUS PNEUMONIAE	PNEUMOCOCCAL POLYSACCHARIDE CONJUGATE VACCINE (13-VALENT, ADSORBED)	UNII:C9R35M8XV6	Hiberix	MONDO:0001031|UNII:C9R35M8XV6	False
MONDO:0001056	gastric cancer	GASTRIC CANCER	PEGFILGRASTIM	UNII:3A58010674	Pegfilgrastim	MONDO:0001056|UNII:3A58010674	False
MONDO:0001056	gastric cancer	GASTRIC CANCER	PEGFILGRASTIM	UNII:3A58010674	Pegfilgrastim	MONDO:0001056|UNII:3A58010674	False
MONDO:0001056	gastric cancer	GASTRIC CANCER	RAMUCIRUMAB	UNII:D99YVK4L0X	Ramucirumab	MONDO:0001056|UNII:D99YVK4L0X	False
MONDO:0001056	gastric cancer	GASTRIC CANCER	TRASTUZUMAB DERUXTECAN	UNII:5384HK7574	Trastuzumab deruxtecan	MONDO:0001056|UNII:5384HK7574	False
MONDO:0001056	gastric cancer	GASTRIC CANCER (ADVANCED OR RECURRENT)	ZOLBETUXIMAB 	UNII:TF5MPQ8WGY	Zolbetuximab	MONDO:0001056|UNII:TF5MPQ8WGY	False
MONDO:0001056	gastric cancer	GASTRIC CANCER (METASTATIC)	TRASTUZUMAB	UNII:5384HK7574	Trastuzumab deruxtecan	MONDO:0001056|UNII:5384HK7574	False
MONDO:0001078	tropical sprue	TROPICAL SPRUE	{'FOLIC ACID'}	CHEBI:27470	Folic acid	MONDO:0001078|CHEBI:27470	False
MONDO:0001106	kidney failure	ANEMIA OF RENAL INSUFFICIENCY	{'NANDROLONE'}	CHEBI:7466	Nandrolone	MONDO:0001106|CHEBI:7466	False
MONDO:0001126	gastric ulcer	GASTRIC ULCER	{'RANITIDINE'}	CHEBI:8776	ranitidine	MONDO:0001126|CHEBI:8776	False
MONDO:0001126	gastric ulcer	GASTRIC ULCER	{'RANITIDINE'}	CHEBI:8776	ranitidine	MONDO:0001126|CHEBI:8776	False
MONDO:0001187	urinary bladder cancer	BLADDER CANCER	PEGFILGRASTIM	UNII:3A58010674	Pegfilgrastim	MONDO:0001187|UNII:3A58010674	False
MONDO:0001187	urinary bladder cancer	BLADDER CANCER	PEGFILGRASTIM	UNII:3A58010674	Pegfilgrastim	MONDO:0001187|UNII:3A58010674	False
MONDO:0001246	typhus	TYPHUS FEVER	{'OXYTETRACYCLINE'}	CHEBI:133011	oxytetracycline	MONDO:0001246|CHEBI:133011	False
MONDO:0001249	trachoma	TRACHOMA	{'OXYTETRACYCLINE'}	CHEBI:133011	oxytetracycline	MONDO:0001249|CHEBI:133011	False
MONDO:0001249	trachoma	TRACHOMA (ADJUNCTIVE)	{'SULFACETAMIDE'}	CHEBI:9327	Isopto cetamide	MONDO:0001249|CHEBI:9327	False
MONDO:0001358	bronchial disorder	BRONCHOSPASM	{'ALBUTEROL'}	CHEBI:2549	Salbutamol	MONDO:0001358|CHEBI:2549	False
MONDO:0001358	bronchial disorder	BRONCHOSPASM	{'ALBUTEROL'}	CHEBI:2549	Salbutamol	MONDO:0001358|CHEBI:2549	False
MONDO:0001475	neutropenia	PERSISTENT NEUTROPENIA	FILGRASTIM	UNII:PVI5M0M1GW	Filgrastim	MONDO:0001475|UNII:PVI5M0M1GW	False
MONDO:0001516	spinal muscular atrophy	SPINAL MUSCULAR ATROPHY	RISDIPLAM	UNII:76RS4S2ET1	Risdiplam	MONDO:0001516|UNII:76RS4S2ET1	False
MONDO:0001549	hemolytic-uremic syndrome	ATYPICAL HAEMOLYTIC UREMIC SYNDROME (AHUS)	ECULIZUMAB	UNII:A3ULP0F556	Eculizumab	MONDO:0001549|UNII:A3ULP0F556	False
MONDO:0001566	hypercalcemia disease	HYPERCALCEMIA	N/A FOR THIS COMBINATION DRUG	DRUGBANK:DB00083	Botulinum toxin type A	MONDO:0001566|DRUGBANK:DB00083	False
MONDO:0001577	respiratory syncytial virus infectious disease	RESPIRATORY SYNCYTIAL VIRUS (RSV) INFECTION	RECOMBINANT RESPIRATORY SYNCYTIAL VIRUS PREF3 ANTIGEN	DRUGBANK:DB18714	Recombinant stabilized RSV B prefusion F antigen	MONDO:0001577|DRUGBANK:DB18714	False
MONDO:0001577	respiratory syncytial virus infectious disease	RESPIRATORY SYNCYTIAL VIRUS INFECTION	"RESPIRATORY SYNCYTIAL VIRUS-A PREFUSION F PROTEIN
RESPIRATORY SYNCYTIAL VIRUS-B PREFUSION F PROTEIN"	DRUGBANK:DB18714	Recombinant stabilized RSV B prefusion F antigen	MONDO:0001577|DRUGBANK:DB18714	False
MONDO:0001657	brain cancer	BRAIN CANCER	PEGFILGRASTIM	UNII:3A58010674	Pegfilgrastim	MONDO:0001657|UNII:3A58010674	False
MONDO:0001797	chancroid	CHANCROID	{'OXYTETRACYCLINE'}	CHEBI:133011	oxytetracycline	MONDO:0001797|CHEBI:133011	False
MONDO:0001860	folic acid deficiency anemia	MEGALOBLASTIC ANEMIAS DUE TO A DEFICIENCY OF FOLIC ACID	{'FOLIC ACID'}	CHEBI:27470	Folic acid	MONDO:0001860|CHEBI:27470	False
MONDO:0001942	generalized anxiety disorder	GENERALISED ANXIETY DISORDER	PREGABALIN	CHEBI:64356	Pregabalin	MONDO:0001942|CHEBI:64356	False
MONDO:0001999	primary pulmonary hypertension	PRIMARY PULMONARY HYPERTENSION	ILOPROST	CHEBI:63916	Iloprost	MONDO:0001999|CHEBI:63916	False
MONDO:0002049	thrombocytopenia	THROMBOCYTOPENIA	AVATROMBOPAG MALEATE	UNII:GDW7M2P1IS	AVATROMBOPAG MALEATE	MONDO:0002049|UNII:GDW7M2P1IS	False
MONDO:0002125	status epilepticus	STATUS EPILEPTICUS	{'LORAZEPAM'}	CHEBI:6539	Lorazepam	MONDO:0002125|CHEBI:6539	False
MONDO:0002137	noninfectious dermatoses of eyelid	CORTICOSTEROID RESPONSIVE DERMATOSES	{'DIFLORASONE'}	CHEBI:31483	diflorasone diacetate	MONDO:0002137|CHEBI:31483	False
MONDO:0002137	noninfectious dermatoses of eyelid	CORTICOSTEROID RESPONSIVE DERMATOSES	{'DIFLORASONE'}	CHEBI:31483	diflorasone diacetate	MONDO:0002137|CHEBI:31483	False
MONDO:0002137	noninfectious dermatoses of eyelid	CORTICOSTEROID-RESPONSIVE DERMATOSES	{'BETAMETHASONE'}	CHEBI:3077	Betamethasone	MONDO:0002137|CHEBI:3077	False
MONDO:0002137	noninfectious dermatoses of eyelid	CORTICOSTEROID-RESPONSIVE DERMATOSES	{'DIFLORASONE'}	CHEBI:31483	diflorasone diacetate	MONDO:0002137|CHEBI:31483	False
MONDO:0002137	noninfectious dermatoses of eyelid	CORTICOSTEROID-RESPONSIVE DERMATOSES	{'MOMETASONE'}	CHEBI:6970	Mometasone	MONDO:0002137|CHEBI:6970	False
MONDO:0002154	trichomoniasis	TRICHOMONIASIS	{'METRONIDAZOLE'}	CHEBI:6909	Metronidazole	MONDO:0002154|CHEBI:6909	False
MONDO:0002154	trichomoniasis	TRICHOMONIASIS	{'METRONIDAZOLE'}	CHEBI:6909	Metronidazole	MONDO:0002154|CHEBI:6909	False
MONDO:0002158	fallopian tube cancer	FALLOPIAN TUBE CANCER	BEVACIZUMAB	UNII:2S9ZZM9Q9V	Bevacizumab	MONDO:0002158|UNII:2S9ZZM9Q9V	False
MONDO:0002158	fallopian tube cancer	FALLOPIAN TUBE CANCER	RUCAPARIB	CHEBI:134689	Rucaparib	MONDO:0002158|CHEBI:134689	False
MONDO:0002186	acute maxillary sinusitis	ACUTE MAXILLARY SINUSITIS	{'LOMEFLOXACIN'}	CHEBI:116278	Lomefloxacin	MONDO:0002186|CHEBI:116278	False
MONDO:0002280	anemia	ANEMIA OF CHILDHOOD	{'FOLIC ACID'}	CHEBI:27470	Folic acid	MONDO:0002280|CHEBI:27470	False
MONDO:0002303	central retinal vein occlusion	VISUAL IMPAIRMENT DUE TO MACULAR OEDEMA SECONDARY TO RETINAL VEIN OCCLUSION (BRANCH RVO OR CENTRAL RVO)	AFLIBERCEPT	UNII:15C2VL427D	Aflibercept	MONDO:0002303|UNII:15C2VL427D	False
MONDO:0002305	thrombophilia	THROMBOPHILIA	HUMAN PROTEIN C	CHEBI:5931	insulin human	MONDO:0002305|CHEBI:5931	False
MONDO:0002307	blepharoconjunctivitis	BLEPHAROCONJUNCTIVITIS	{'NEOMYCIN', 'POLYMYXIN B', 'BACITRACIN'}	RXCUI:374806	bacitracin / hydrocortisone / neomycin / polymyxin B Ophthalmic Ointment	MONDO:0002307|RXCUI:374806	False
MONDO:0002313	vernal conjunctivitis	VERNAL CONJUNCTIVITIS	{'MEDRYSONE'}	CHEBI:34829	Medrysone	MONDO:0002313|CHEBI:34829	False
MONDO:0002337	intra-abdominal hemangioma	COMPLICATED INTRA-ABDOMINAL INFECTIONS	{'TROVAFLOXACIN'}	CHEBI:9763	Trovafloxacin	MONDO:0002337|CHEBI:9763	False
MONDO:0002520	hepatic porphyria	ACUTE HEPATIC PORPHYRIA	GIVOSIRAN SODIUM	UNII:ROV204583W	Givosiran	MONDO:0002520|UNII:ROV204583W	False
MONDO:0002545	spinal cord disorder	SPINAL CORD DISEASES	{'BACLOFEN'}	CHEBI:187893	Baclofen	MONDO:0002545|CHEBI:187893	False
MONDO:0002545	spinal cord disorder	SPINAL CORD DISEASES	{'BACLOFEN'}	CHEBI:187893	Baclofen	MONDO:0002545|CHEBI:187893	False
MONDO:0002679	cerebral infarction	CEREBRAL INFARCTION	CLAZOSENTAN SODIUM	PUBCHEM.COMPOUND:51346597	Clazosentan sodium	MONDO:0002679|PUBCHEM.COMPOUND:51346597	False
MONDO:0002909	hyperglycemia	HYPERGLYCEMIA	{'TOLAZAMIDE'}	CHEBI:9613	Tolazamide	MONDO:0002909|CHEBI:9613	False
MONDO:0002911	brain stem glioma	BRAIN-STEM GLIOMAS	CARMUSTINE	CHEBI:3423	Carmustine	MONDO:0002911|CHEBI:3423	False
MONDO:0002974	cervical cancer	CERVICAL CANCER (ADVANCED OR RECURRENT)	CEMIPLIMAB 	UNII:6QVL057INT	Cemiplimab	MONDO:0002974|UNII:6QVL057INT	False
MONDO:0003085	keratitis	CORNEAL INFLAMMATION	{'HYDROCORTISONE', 'NEOMYCIN', 'POLYMYXIN B', 'BACITRACIN'}	RXCUI:374806	bacitracin / hydrocortisone / neomycin / polymyxin B Ophthalmic Ointment	MONDO:0003085|RXCUI:374806	False
MONDO:0003085	keratitis	CORTICOSTEROID-RESPONSIVE INFLAMMATION OF THE CORNEA	{'FLUOROMETHOLONE'}	CHEBI:31625	Fluorometholone	MONDO:0003085|CHEBI:31625	False
MONDO:0003085	keratitis	KERATITIS	{'CHLORAMPHENICOL'}	CHEBI:3605	Chloramphenicol palmitate	MONDO:0003085|CHEBI:3605	False
MONDO:0003085	keratitis	KERATITIS	{'NEOMYCIN', 'POLYMYXIN B', 'BACITRACIN'}	RXCUI:374806	bacitracin / hydrocortisone / neomycin / polymyxin B Ophthalmic Ointment	MONDO:0003085|RXCUI:374806	False
MONDO:0003799	conjunctivitis	CONJUNCTIVITIS	{'CHLORAMPHENICOL'}	CHEBI:3605	Chloramphenicol palmitate	MONDO:0003799|CHEBI:3605	False
MONDO:0003799	conjunctivitis	CONJUNCTIVITIS	{'NEOMYCIN', 'POLYMYXIN B', 'BACITRACIN'}	RXCUI:374806	bacitracin / hydrocortisone / neomycin / polymyxin B Ophthalmic Ointment	MONDO:0003799|RXCUI:374806	False
MONDO:0003799	conjunctivitis	CONJUNCTIVITIS	{'SULFACETAMIDE'}	CHEBI:9327	Isopto cetamide	MONDO:0003799|CHEBI:9327	False
MONDO:0004059	dentin sensitivity	EPINEPHRINE SENSITIVITY	{'MEDRYSONE'}	CHEBI:34829	Medrysone	MONDO:0004059|CHEBI:34829	False
MONDO:0004110	refractory hairy cell leukemia	B-PRECURSOR ALL (REFRACTORY OR IN RELAPSE)	BLINATUMOMAB	UNII:4FR53SIF3A	Blinatumomab	MONDO:0004110|UNII:4FR53SIF3A	False
MONDO:0004277	gonorrhea	GONOCOCCAL INFECTIONS	{'OXYTETRACYCLINE'}	CHEBI:133011	oxytetracycline	MONDO:0004277|CHEBI:133011	False
MONDO:0004277	gonorrhea	GONORRHEA	{'CEFTIZOXIME'}	CHEBI:553473	Ceftizoxime	MONDO:0004277|CHEBI:553473	False
MONDO:0004277	gonorrhea	GONORRHEA	{'CEFTIZOXIME'}	CHEBI:553473	Ceftizoxime	MONDO:0004277|CHEBI:553473	False
MONDO:0004592	impetigo	IMPETIGO	{'LOMEFLOXACIN'}	CHEBI:116278	Lomefloxacin	MONDO:0004592|CHEBI:116278	False
MONDO:0004728	diabetic macular edema	DIABETIC MACULAR EDEMA	AFLIBERCEPT 	UNII:15C2VL427D	Aflibercept	MONDO:0004728|UNII:15C2VL427D	False
MONDO:0004728	diabetic macular edema	DIABETIC MACULAR EDEMA	FARICIMAB 	UNII:QC4F7FKK7I	Faricimab	MONDO:0004728|UNII:QC4F7FKK7I	False
