disease IDs	disease ID labels	list of diseases	active ingredients in therapy	drug ID	drug ID Label	drug|disease
HP:0000225	Gingival bleeding	BLEEDING	HUMAN FIBRINOGEN/THROMBIN FRACTION	DRUGBANK:DB13968	Plasma protein fraction (human)	HP:0000225|DRUGBANK:DB13968
HP:0000225	Gingival bleeding	BLEEDING (LIFE-THREATENING OR UNCONTROLLED)	ANDEXANET ALFA	UNII:BI009E452R	Andexanet alfa	HP:0000225|UNII:BI009E452R
HP:0000225	Gingival bleeding	BLEEDING (LIFE-THREATENING OR UNCONTROLLED)	ANDEXANET ALFA 	UNII:BI009E452R	Andexanet alfa	HP:0000225|UNII:BI009E452R
HP:0000225	Gingival bleeding	LIFE-THREATENING OR UNCONTROLLED BLEEDING	IDARUCIZUMAB	UNII:97RWB5S1U6	Idarucizumab	HP:0000225|UNII:97RWB5S1U6
HP:0000225	Gingival bleeding	LIFE-THREATENING OR UNCONTROLLED BLEEDING	IDARUCIZUMAB 	UNII:97RWB5S1U6	Idarucizumab	HP:0000225|UNII:97RWB5S1U6
HP:0000225	Gingival bleeding	SERIOUS BLEEDING DURING EMERGENCY SURGERY OR PROCEDURES	IDARUCIZUMAB 	UNII:97RWB5S1U6	Idarucizumab	HP:0000225|UNII:97RWB5S1U6
HP:0000255	Acute sinusitis	ACUTE SINUSITIS	TELITHROMYCIN	CHEBI:29688	Telithromycin	HP:0000255|CHEBI:29688
HP:0000255	Acute sinusitis	ACUTE SINUSITIS	TELITHROMYCIN	CHEBI:29688	Telithromycin	HP:0000255|CHEBI:29688
HP:0000255	Acute sinusitis	ACUTE SINUSITIS	TROVAFLOXACIN	CHEBI:9763	Trovafloxacin	HP:0000255|CHEBI:9763
HP:0000255	Acute sinusitis	ACUTE SINUSITIS	TROVAFLOXACIN	CHEBI:9763	Trovafloxacin	HP:0000255|CHEBI:9763
HP:0000255	Acute sinusitis	ACUTE SINUSITIS	TROVAFLOXACIN	CHEBI:9763	Trovafloxacin	HP:0000255|CHEBI:9763
HP:0000255	Acute sinusitis	ACUTE SINUSITIS	TROVAFLOXACIN	CHEBI:9763	Trovafloxacin	HP:0000255|CHEBI:9763
HP:0000371	Acute otitis media	ACUTE OTITIS MEDIA	PNEUMOCOCCAL POLYSACCHARIDE CONJUGATE VACCINE (ADSORBED)	UNII:C9R35M8XV6	Hiberix	HP:0000371|UNII:C9R35M8XV6
HP:0000371	Acute otitis media	ACUTE OTITIS MEDIA	PNEUMOCOCCAL POLYSACCHARIDE CONJUGATE VACCINE (ADSORBED)	UNII:C9R35M8XV6	Hiberix	HP:0000371|UNII:C9R35M8XV6
HP:0000371	Acute otitis media	ACUTE OTITIS MEDIA	PNEUMOCOCCAL SACCHARIDE CONJUGATED VACCINE, ADSORBED	CHEBI:8389	Conjugated estrogens	HP:0000371|CHEBI:8389
HP:0000371	Acute otitis media	ACUTE OTITIS MEDIA	POLYETHYLENE GLYCOL TREATED HUMAN NORMAL IMMUNOGLOBULIN	DRUGBANK:DB00028	Human immunoglobulin G	HP:0000371|DRUGBANK:DB00028
HP:0000505	Visual impairment	UROLOGICAL IMPAIRMENT	MESNA	CHEBI:31824	Mesna	HP:0000505|CHEBI:31824
HP:0000505	Visual impairment	UROLOGICAL IMPAIRMENT	MESNA	CHEBI:31824	Mesna	HP:0000505|CHEBI:31824
HP:0000505	Visual impairment	UROLOGICAL IMPAIRMENT	MESNA	CHEBI:31824	Mesna	HP:0000505|CHEBI:31824
HP:0000505	Visual impairment	VISUAL IMPAIRMENT DUE TO CHOROIDAL NEOVASCULARISATION (CNV)	RANIBIZUMAB	UNII:ZL1R02VT79	Ranibizumab	HP:0000505|UNII:ZL1R02VT79
HP:0000713	Agitation	AGITATION	DEXMEDETOMIDINE	CHEBI:4466	Dexmedetomidine	HP:0000713|CHEBI:4466
HP:0000855	Insulin resistance	INSULIN RESISTANCE	METFORMIN HYDROCHLORIDE	CHEBI:6801	Metformin	HP:0000855|CHEBI:6801
HP:0000938	Osteopenia	BONE LOSS	DENOSUMAB	UNII:4EQZ6YO2HI	Denosumab	HP:0000938|UNII:4EQZ6YO2HI
HP:0000969	Edema	FLUID RETENTION	TOLVAPTAN	CHEBI:231425	tolvaptan	HP:0000969|CHEBI:231425
HP:0000975	Hyperhidrosis	PRIMARY AXILLARY HYPERHIDROSIS	GLYCOPYRRONIUM TOSILATE HYDRATE	PUBCHEM.COMPOUND:71680039	GLYCOPYRRONIUM TOSYLATE	HP:0000975|PUBCHEM.COMPOUND:71680039
HP:0000975	Hyperhidrosis	PRIMARY AXILLARY HYPERHIDROSIS	SOFPIRONIUM BROMIDE	UNII:7B2Y1932XU	SOFPIRONIUM BROMIDE	HP:0000975|UNII:7B2Y1932XU
HP:0000975	Hyperhidrosis	PRIMARY PALMAR HYPERHIDROSIS	OXYBUTYNIN HYDROCHLORIDE	CHEBI:144551	Oxybutynin	HP:0000975|CHEBI:144551
HP:0000989	Pruritus	CHOLESTATIC PRURITUS (ALGS)	MARALIXIBAT CHLORIDE	UNII:UYB6UOF69L	Maralixibat	HP:0000989|UNII:UYB6UOF69L
HP:0000989	Pruritus	CUTANEOUS PRURITUS	BEPOTASTINE BESILATE	CHEBI:31281	bepotastine besylate	HP:0000989|CHEBI:31281
HP:0000989	Pruritus	CUTANEOUS PRURITUS	BILASTINE	CHEBI:135954	Bilastine	HP:0000989|CHEBI:135954
HP:0000989	Pruritus	CUTANEOUS PRURITUS	DESLORATADINE	CHEBI:291342	Desloratadine	HP:0000989|CHEBI:291342
HP:0000989	Pruritus	CUTANEOUS PRURITUS	LEVOCETIRIZINE HYDROCHLORIDE	UNII:W69HSF2416	Levocetirizine hydrochloride	HP:0000989|UNII:W69HSF2416
HP:0000989	Pruritus	CUTANEOUS PRURITUS	RUPATADINE FUMARATE	UNII:XJ6OT32M93	Rupatadine Fumarate	HP:0000989|UNII:XJ6OT32M93
HP:0000989	Pruritus	PRURITUS	DIFELIKEFALIN ACETATE	UNII:0P70AR5BYB	Difelikefalin Acetate	HP:0000989|UNII:0P70AR5BYB
HP:0000989	Pruritus	PRURITUS	NALFURAFINE HYDROCHLORIDE	PUBCHEM.COMPOUND:6918287	Nalfurafine hydrochloride	HP:0000989|PUBCHEM.COMPOUND:6918287
HP:0000989	Pruritus	PRURITUS	NALFURAFINE HYDROCHLORIDE	PUBCHEM.COMPOUND:6918287	Nalfurafine hydrochloride	HP:0000989|PUBCHEM.COMPOUND:6918287
HP:0000989	Pruritus	PRURITUS CUTANEOUS	CETIRIZINE HYDROCHLORIDE	PUBCHEM.COMPOUND:9551858	CETIRIZINE HYDROCHLORIDE	HP:0000989|PUBCHEM.COMPOUND:9551858
HP:0000989	Pruritus	PRURITUS CUTANEOUS	FEXOFENADINE HYDROCHLORIDE	CHEBI:5050	Fexofenadine	HP:0000989|CHEBI:5050
HP:0000989	Pruritus	PRURITUS CUTANEOUS	LEVOCETIRIZINE HYDROCHLORIDE	UNII:W69HSF2416	Levocetirizine hydrochloride	HP:0000989|UNII:W69HSF2416
HP:0000989	Pruritus	PRURITUS CUTANEOUS	OLOPATADINE HYDROCHLORIDE	CHEBI:31933	Olopatadine hydrochloride	HP:0000989|CHEBI:31933
HP:0000989	Pruritus	PRURITUS CUTANEOUS	OLOPATADINE HYDROCHLORIDE	CHEBI:31933	Olopatadine hydrochloride	HP:0000989|CHEBI:31933
HP:0000989	Pruritus	SKIN PRURITUS	EPINASTINE HYDROCHLORIDE	CHEBI:51032	Epinastine	HP:0000989|CHEBI:51032
HP:0001123	Visual field defect	FIELD CANCERIZATION	5-AMINOLEVULINIC ACID HYDROCHLORIDE	CHEBI:17549	Aminolevulinic acid	HP:0001123|CHEBI:17549
HP:0001257	Spasticity	SPASTICITY	BOTULINUM TOXIN TYPE A	DRUGBANK:DB00083	Botulinum toxin type A	HP:0001257|DRUGBANK:DB00083
HP:0001257	Spasticity	SPASTICITY	INCOBOTULINUMTOXIN A	DRUGBANK:DB17994	Influenza A Virus A/Victoria/4897/2022 IVR-238 (H1N1) antigen (formaldehyde inactivated)	HP:0001257|DRUGBANK:DB17994
HP:0001257	Spasticity	SPASTICITY	INCOBOTULINUMTOXIN A	DRUGBANK:DB17994	Influenza A Virus A/Victoria/4897/2022 IVR-238 (H1N1) antigen (formaldehyde inactivated)	HP:0001257|DRUGBANK:DB17994
HP:0001257	Spasticity	SPASTICITY	MORPHINE HYDROCHLORIDE	CHEBI:55340	morphine hydrochloride	HP:0001257|CHEBI:55340
HP:0001257	Spasticity	SPASTICITY	MORPHINE HYDROCHLORIDE	CHEBI:55340	morphine hydrochloride	HP:0001257|CHEBI:55340
HP:0001257	Spasticity	SPASTICITY	MORPHINE HYDROCHLORIDE	CHEBI:55340	morphine hydrochloride	HP:0001257|CHEBI:55340
HP:0001257	Spasticity	SPASTICITY	MORPHINE HYDROCHLORIDE	CHEBI:55340	morphine hydrochloride	HP:0001257|CHEBI:55340
HP:0001259	Coma	PERSISTENT	BEVACIZUMAB	UNII:2S9ZZM9Q9V	Bevacizumab	HP:0001259|UNII:2S9ZZM9Q9V
HP:0001259	Coma	PERSISTENT	BEVACIZUMAB	UNII:2S9ZZM9Q9V	Bevacizumab	HP:0001259|UNII:2S9ZZM9Q9V
HP:0001259	Coma	PERSISTENT	BEVACIZUMAB	UNII:2S9ZZM9Q9V	Bevacizumab	HP:0001259|UNII:2S9ZZM9Q9V
HP:0001259	Coma	PERSISTENT	BEVACIZUMAB	UNII:2S9ZZM9Q9V	Bevacizumab	HP:0001259|UNII:2S9ZZM9Q9V
HP:0001259	Coma	PERSISTENT	BEVACIZUMAB	UNII:2S9ZZM9Q9V	Bevacizumab	HP:0001259|UNII:2S9ZZM9Q9V
HP:0001259	Coma	PERSISTENT	BEVACIZUMAB	UNII:2S9ZZM9Q9V	Bevacizumab	HP:0001259|UNII:2S9ZZM9Q9V
HP:0001259	Coma	PERSISTENT	BEVACIZUMAB	UNII:2S9ZZM9Q9V	Bevacizumab	HP:0001259|UNII:2S9ZZM9Q9V
HP:0001259	Coma	PERSISTENT	BEVACIZUMAB	UNII:2S9ZZM9Q9V	Bevacizumab	HP:0001259|UNII:2S9ZZM9Q9V
HP:0001259	Coma	PERSISTENT	BEVACIZUMAB	UNII:2S9ZZM9Q9V	Bevacizumab	HP:0001259|UNII:2S9ZZM9Q9V
HP:0001259	Coma	PERSISTENT	BEVACIZUMAB	UNII:2S9ZZM9Q9V	Bevacizumab	HP:0001259|UNII:2S9ZZM9Q9V
HP:0001259	Coma	PERSISTENT)	MORPHINE HYDROCHLORIDE	CHEBI:55340	morphine hydrochloride	HP:0001259|CHEBI:55340
HP:0001262	Excessive daytime somnolence	EXCESSIVE DAYTIME SLEEPINESS	MODAFINIL	CHEBI:31859	Modafinil	HP:0001262|CHEBI:31859
HP:0001262	Excessive daytime somnolence	EXCESSIVE DAYTIME SLEEPINESS ASSOCIATED WITH IDIOPATHIC HYPERSOMNIA	MODAFINIL	CHEBI:31859	Modafinil	HP:0001262|CHEBI:31859
HP:0001262	Excessive daytime somnolence	EXCESSIVE DAYTIME SLEEPINESS ASSOCIATED WITH NARCOLEPSY	MODAFINIL	CHEBI:31859	Modafinil	HP:0001262|CHEBI:31859
HP:0001293	Cranial nerve compression	CRANIAL NERVE COMPRESSION	N/A BECAUSE OF A NEW COMBINATION DRUG	DRUGBANK:DB17994	Influenza A Virus A/Victoria/4897/2022 IVR-238 (H1N1) antigen (formaldehyde inactivated)	HP:0001293|DRUGBANK:DB17994
HP:0001371	Flexion contracture	DUPUYTREN’S CONTRACTURE	COLLAGENASE CLOSTRIDIUM HISTOLYTICUM	UNII:9X7O8V25IT	collagenase	HP:0001371|UNII:9X7O8V25IT
HP:0001410	Decreased liver function	LIVER DYSFUNCTION	TENOFOVIR DISOPROXIL FUMARATE	CHEBI:63717	Tenofovir disoproxil	HP:0001410|CHEBI:63717
HP:0001410	Decreased liver function	LIVER DYSFUNCTION	VELMANASE ALFA	CHEBI:29105	Velmanase alfa	HP:0001410|CHEBI:29105
HP:0001510	Growth delay	GROWTH FAILURE	MECASERMIN	CHEBI:80343	Mecasermin	HP:0001510|CHEBI:80343
HP:0001510	Growth delay	GROWTH FAILURE (INADEQUATE SECRETION OF NORMAL ENDOGENOUS GROWTH HORMONE)	SOMATROPIN	UNII:NQX9KB6PCL	Somatotropin	HP:0001510|UNII:NQX9KB6PCL
HP:0001681	Angina pectoris	ANGINA PECTORIS	AMLODIPINE BESILATE	CHEBI:2668	Amlodipine	HP:0001681|CHEBI:2668
HP:0001681	Angina pectoris	ANGINA PECTORIS	AMLODIPINE BESILATE/ATORVASTATIN CALCIUM HYDRATE	CHEBI:2911	atorvastatin calcium trihydrate	HP:0001681|CHEBI:2911
HP:0001681	Angina pectoris	CHRONIC STABLE ANGINA PECTORIS	IVABRADINE	CHEBI:85966	Ivabradine	HP:0001681|CHEBI:85966
HP:0001681	Angina pectoris	CHRONIC STABLE ANGINA PECTORIS	IVABRADINE	CHEBI:85966	Ivabradine	HP:0001681|CHEBI:85966
HP:0001681	Angina pectoris	CHRONIC STABLE ANGINA PECTORIS	IVABRADINE	CHEBI:85966	Ivabradine	HP:0001681|CHEBI:85966
HP:0001681	Angina pectoris	CHRONIC STABLE ANGINA PECTORIS	IVABRADINE	CHEBI:85966	Ivabradine	HP:0001681|CHEBI:85966
HP:0001681	Angina pectoris	CHRONIC STABLE ANGINA PECTORIS	IVABRADINE	CHEBI:85966	Ivabradine	HP:0001681|CHEBI:85966
HP:0001681	Angina pectoris	CHRONIC STABLE ANGINA PECTORIS	IVABRADINE	CHEBI:85966	Ivabradine	HP:0001681|CHEBI:85966
HP:0001705	Right ventricular outlet tract obstruction	HYPOXIC ATTACK CAUSED BY RIGHT VENTRICULAR OUTFLOW TRACT OBSTRUCTION	PROPRANOLOL HYDROCHLORIDE	CHEBI:8500	propranolol hydrochloride	HP:0001705|CHEBI:8500
HP:0001744	Splenomegaly	SPLENOMEGALY	IMIGLUCERASE	UNII:Q6U6J48BWY	Imiglucerase	HP:0001744|UNII:Q6U6J48BWY
HP:0001892	Abnormal bleeding	BLEEDING DISORDERS	HUMAN FIBRINOGEN, HUMAN THROMBIN	CHEBI:5931	insulin human	HP:0001892|CHEBI:5931
HP:0001892	Abnormal bleeding	BLEEDING TENDENCY	FREEZE-DRIED HUMAN PROTHROMBIN COMPLEX CONCENTRATED	CHEBI:5931	insulin human	HP:0001892|CHEBI:5931
HP:0001907	Thromboembolism	ATHEROTHROMBOTIC AND THROMBOEMBOLIC EVENTS	CLOPIDOGREL	CHEBI:3759	Plavix	HP:0001907|CHEBI:3759
HP:0001907	Thromboembolism	THROMBOEMBOLIC DISEASE	LEPIRUDIN	CHEBI:142437	lepirudin	HP:0001907|CHEBI:142437
HP:0001907	Thromboembolism	THROMBOEMBOLIC EVENTS	EPOETIN BETA	UNII:LR3UXN0193	Methoxy polyethylene glycol-epoetin beta	HP:0001907|UNII:LR3UXN0193
HP:0001907	Thromboembolism	THROMBOEMBOLIC EVENTS	EPOETIN ZETA	MESH:C530192	epoetin zeta	HP:0001907|MESH:C530192
HP:0001907	Thromboembolism	VENOUS THROMBOEMBOLIC EVENTS	DABIGATRAN ETEXILATE	CHEBI:70746	Dabigatran etexilate	HP:0001907|CHEBI:70746
HP:0001907	Thromboembolism	VENOUS THROMBOEMBOLIC EVENTS (VTE)	APIXABAN	CHEBI:72296	Apixaban	HP:0001907|CHEBI:72296
HP:0001907	Thromboembolism	VENOUS THROMBOEMBOLIC EVENTS (VTE)	APIXABAN	CHEBI:72296	Apixaban	HP:0001907|CHEBI:72296
HP:0001907	Thromboembolism	VENOUS THROMBOEMBOLIC EVENTS (VTE)	FONDAPARINUX SODIUM	UNII:X0Q6N9USOZ	FONDAPARINUX SODIUM	HP:0001907|UNII:X0Q6N9USOZ
HP:0001907	Thromboembolism	VENOUS THROMBOEMBOLIC EVENTS (VTE)	FONDAPARINUX SODIUM	UNII:X0Q6N9USOZ	FONDAPARINUX SODIUM	HP:0001907|UNII:X0Q6N9USOZ
HP:0001944	Dehydration	DEHYDRATION	N/A BECAUSE OF A COMBINATION DRUG	DRUGBANK:DB17994	Influenza A Virus A/Victoria/4897/2022 IVR-238 (H1N1) antigen (formaldehyde inactivated)	HP:0001944|DRUGBANK:DB17994
HP:0001944	Dehydration	DEHYDRATION	N/A FOR THIS COMBINATION DRUG	DRUGBANK:DB00083	Botulinum toxin type A	HP:0001944|DRUGBANK:DB00083
HP:0001945	Fever	FEVER	ACETAMINOPHEN	CHEBI:46195	Acetaminophen	HP:0001945|CHEBI:46195
HP:0001945	Fever	FEVER	ACETAMINOPHEN	CHEBI:46195	Acetaminophen	HP:0001945|CHEBI:46195
HP:0001945	Fever	FEVER	ACETAMINOPHEN	CHEBI:46195	Acetaminophen	HP:0001945|CHEBI:46195
HP:0001945	Fever	FEVER	ACETAMINOPHEN	CHEBI:46195	Acetaminophen	HP:0001945|CHEBI:46195
HP:0001945	Fever	FEVER	ACETAMINOPHEN	CHEBI:46195	Acetaminophen	HP:0001945|CHEBI:46195
HP:0001945	Fever	FEVER	ACETAMINOPHEN	CHEBI:46195	Acetaminophen	HP:0001945|CHEBI:46195
HP:0001945	Fever	FEVER	ACETAMINOPHEN	CHEBI:46195	Acetaminophen	HP:0001945|CHEBI:46195
HP:0001945	Fever	FEVER	ACETAMINOPHEN	CHEBI:46195	Acetaminophen	HP:0001945|CHEBI:46195
HP:0001945	Fever	FEVER	ACETAMINOPHEN	CHEBI:46195	Acetaminophen	HP:0001945|CHEBI:46195
HP:0001945	Fever	FEVER	ACETAMINOPHEN	CHEBI:46195	Acetaminophen	HP:0001945|CHEBI:46195
HP:0001945	Fever	FEVER	ACETAMINOPHEN	CHEBI:46195	Acetaminophen	HP:0001945|CHEBI:46195
HP:0001945	Fever	FEVER	ACETAMINOPHEN	CHEBI:46195	Acetaminophen	HP:0001945|CHEBI:46195
HP:0001945	Fever	FEVER	ACETAMINOPHEN	CHEBI:46195	Acetaminophen	HP:0001945|CHEBI:46195
HP:0001945	Fever	FEVER	ACETAMINOPHEN	CHEBI:46195	Acetaminophen	HP:0001945|CHEBI:46195
HP:0001945	Fever	FEVER	ACETAMINOPHEN	CHEBI:46195	Acetaminophen	HP:0001945|CHEBI:46195
HP:0001945	Fever	FEVER	ACETAMINOPHEN	CHEBI:46195	Acetaminophen	HP:0001945|CHEBI:46195
HP:0001945	Fever	FEVER	ACETAMINOPHEN	CHEBI:46195	Acetaminophen	HP:0001945|CHEBI:46195
HP:0001945	Fever	FEVER	ACETAMINOPHEN	CHEBI:46195	Acetaminophen	HP:0001945|CHEBI:46195
HP:0001945	Fever	FEVER	ACETAMINOPHEN	CHEBI:46195	Acetaminophen	HP:0001945|CHEBI:46195
HP:0001945	Fever	FEVER	ACETAMINOPHEN	CHEBI:46195	Acetaminophen	HP:0001945|CHEBI:46195
HP:0001945	Fever	FEVER	ACETAMINOPHEN	CHEBI:46195	Acetaminophen	HP:0001945|CHEBI:46195
HP:0001945	Fever	FEVER	ACETAMINOPHEN	CHEBI:46195	Acetaminophen	HP:0001945|CHEBI:46195
HP:0001945	Fever	FEVER	ACETAMINOPHEN	CHEBI:46195	Acetaminophen	HP:0001945|CHEBI:46195
HP:0001945	Fever	FEVER	ACETAMINOPHEN	CHEBI:46195	Acetaminophen	HP:0001945|CHEBI:46195
HP:0001945	Fever	FEVER	ACETAMINOPHEN	CHEBI:46195	Acetaminophen	HP:0001945|CHEBI:46195
HP:0001945	Fever	FEVER	ACETAMINOPHEN	CHEBI:46195	Acetaminophen	HP:0001945|CHEBI:46195
HP:0001945	Fever	FEVER	ACETAMINOPHEN	CHEBI:46195	Acetaminophen	HP:0001945|CHEBI:46195
HP:0001945	Fever	FEVER	ACETAMINOPHEN	CHEBI:46195	Acetaminophen	HP:0001945|CHEBI:46195
HP:0001945	Fever	FEVER	ACETAMINOPHEN	CHEBI:46195	Acetaminophen	HP:0001945|CHEBI:46195
HP:0001945	Fever	FEVER	ACETAMINOPHEN	CHEBI:46195	Acetaminophen	HP:0001945|CHEBI:46195
HP:0001945	Fever	FEVER	ACETAMINOPHEN	CHEBI:46195	Acetaminophen	HP:0001945|CHEBI:46195
HP:0001945	Fever	FEVER	ACETAMINOPHEN	CHEBI:46195	Acetaminophen	HP:0001945|CHEBI:46195
HP:0001945	Fever	FEVER	ACETAMINOPHEN	CHEBI:46195	Acetaminophen	HP:0001945|CHEBI:46195
HP:0001945	Fever	FEVER	ACETAMINOPHEN	CHEBI:46195	Acetaminophen	HP:0001945|CHEBI:46195
HP:0001987	Hyperammonemia	HYPERAMMONEMIA	RIFAXIMIN	CHEBI:75246	Rifaximin	HP:0001987|CHEBI:75246
HP:0001993	Ketoacidosis	KETOACIDOSIS	INSULIN HUMAN	CHEBI:5931	insulin human	HP:0001993|CHEBI:5931
HP:0001993	Ketoacidosis	KETOACIDOSIS	INSULIN HUMAN	CHEBI:5931	insulin human	HP:0001993|CHEBI:5931
HP:0002013	Vomiting	VOMITING	APREPITANT	CHEBI:499361	Aprepitant	HP:0002013|CHEBI:499361
HP:0002013	Vomiting	VOMITING	APREPITANT	CHEBI:499361	Aprepitant	HP:0002013|CHEBI:499361
HP:0002013	Vomiting	VOMITING	DEXAMETHASONE	CHEBI:4462	dexamethasone sodium phosphate	HP:0002013|CHEBI:4462
HP:0002013	Vomiting	VOMITING	DEXAMETHASONE SODIUM PHOSPHATE	CHEBI:4462	dexamethasone sodium phosphate	HP:0002013|CHEBI:4462
HP:0002013	Vomiting	VOMITING	FOSAPREPITANT	CHEBI:64311	fosaprepitant dimeglumine	HP:0002013|CHEBI:64311
HP:0002013	Vomiting	VOMITING	FOSAPREPITANT MEGLUMINE	CHEBI:64311	fosaprepitant dimeglumine	HP:0002013|CHEBI:64311
HP:0002013	Vomiting	VOMITING	FOSNETUPITANT CHLORIDE HYDROCHLORIDE	UNII:ZR36MFA9P8	FOSNETUPITANT CHLORIDE HYDROCHLORIDE	HP:0002013|UNII:ZR36MFA9P8
HP:0002013	Vomiting	VOMITING	GRANISETRON	CHEBI:5537	Granisetron	HP:0002013|CHEBI:5537
HP:0002013	Vomiting	VOMITING	GRANISETRON HYDROCHLORIDE	CHEBI:5538	Granisetron hydrochloride	HP:0002013|CHEBI:5538
HP:0002013	Vomiting	VOMITING	GRANISETRON HYDROCHLORIDE	CHEBI:5538	Granisetron hydrochloride	HP:0002013|CHEBI:5538
HP:0002013	Vomiting	VOMITING	L- MENTHOL	CHEBI:25187	Menthol	HP:0002013|CHEBI:25187
HP:0002013	Vomiting	VOMITING	NETUPITANT, PALONOSETRON	RXCUI:1552339	netupitant / palonosetron Oral Product	HP:0002013|RXCUI:1552339
HP:0002013	Vomiting	VOMITING	OCTREOTIDE ACETATE	UNII:RWM8CCW8GP	Octreotide	HP:0002013|UNII:RWM8CCW8GP
HP:0002013	Vomiting	VOMITING	OLANZAPINE	CHEBI:7735	Olanzapine	HP:0002013|CHEBI:7735
HP:0002013	Vomiting	VOMITING	PALONOSETRON	CHEBI:85157	palonosetron hydrochloride	HP:0002013|CHEBI:85157
HP:0002013	Vomiting	VOMITING	PALONOSETRON	CHEBI:85157	palonosetron hydrochloride	HP:0002013|CHEBI:85157
HP:0002013	Vomiting	VOMITING	PALONOSETRON	CHEBI:85157	palonosetron hydrochloride	HP:0002013|CHEBI:85157
HP:0002013	Vomiting	VOMITING	PALONOSETRON HYDROCHLORIDE	CHEBI:85157	palonosetron hydrochloride	HP:0002013|CHEBI:85157
HP:0002013	Vomiting	VOMITING	PALONOSETRON HYDROCHLORIDE	CHEBI:85157	palonosetron hydrochloride	HP:0002013|CHEBI:85157
HP:0002017	Nausea and vomiting	ACUTE AND DELAYED NAUSEA AND VOMITING ASSOCIATED WITH HIGHLY EMETOGENIC CISPLATIN BASED CANCER CHEMOTHERAPY	APREPITANT	CHEBI:499361	Aprepitant	HP:0002017|CHEBI:499361
HP:0002017	Nausea and vomiting	ANTINEOPLASTIC DRUG-INDUCED NAUSEA AND VOMITING	FOSAPREPITANT MEGLUMINE	CHEBI:64311	fosaprepitant dimeglumine	HP:0002017|CHEBI:64311
HP:0002017	Nausea and vomiting	NAUSEA AND VOMITING ASSOCIATED WITH HIGHLY EMETOGENIC CANCER CHEMOTHERAPY	APREPITANT	CHEBI:499361	Aprepitant	HP:0002017|CHEBI:499361
HP:0002017	Nausea and vomiting	NAUSEA AND VOMITING ASSOCIATED WITH MODERATELY EMETOGENIC CANCER CHEMOTHERAPY	APREPITANT	CHEBI:499361	Aprepitant	HP:0002017|CHEBI:499361
HP:0002017	Nausea and vomiting	POST-OPERATIVE NAUSEA AND VOMITING (PONV)	MORPHINE HYDROCHLORIDE	CHEBI:55340	morphine hydrochloride	HP:0002017|CHEBI:55340
HP:0002018	Nausea	NAUSEA	APREPITANT	CHEBI:499361	Aprepitant	HP:0002018|CHEBI:499361
HP:0002018	Nausea	NAUSEA	APREPITANT	CHEBI:499361	Aprepitant	HP:0002018|CHEBI:499361
HP:0002018	Nausea	NAUSEA	DEXAMETHASONE	CHEBI:4462	dexamethasone sodium phosphate	HP:0002018|CHEBI:4462
HP:0002018	Nausea	NAUSEA	DEXAMETHASONE SODIUM PHOSPHATE	CHEBI:4462	dexamethasone sodium phosphate	HP:0002018|CHEBI:4462
HP:0002018	Nausea	NAUSEA	FOSAPREPITANT	CHEBI:64311	fosaprepitant dimeglumine	HP:0002018|CHEBI:64311
