drug|disease	disease ID labels	drug ID Label	drug ID	disease IDs	active ingredients in therapy	list of diseases
HP:0000020|CHEBI:36796	Urinary incontinence	duloxetine	CHEBI:36796	HP:0000020	['DULOXETINE']	['STRESS URINARY INCONTINENCE (SUI)']
HP:0000020|DRUGBANK:DB00083	Urinary incontinence	Botulinum toxin type A	DRUGBANK:DB00083	HP:0000020	['BOTULINUM TOXIN TYPE A']	['URINARY INCONTINENCE DUE TO DETRUSOR OVERACTIVITY ASSOCIATED WITH A NEUROLOGIC CONDITION']
HP:0000023|CHEBI:31713	Inguinal hernia	Iothalamic acid	CHEBI:31713	HP:0000023	['IOTHALAMIC ACID']	['DIRECT CHOLANGIOGRAPHY (DIAGNOSTIC/CONTRAST/RADIOLABEL)']
HP:0000103|CHEBI:4450	Polyuria	Desmopressin	CHEBI:4450	HP:0000103	['DESMOPRESSIN']	['POLYURIA', 'TEMPORARY POLYURIA']
HP:0000119|CHEBI:16586	Abnormality of the genitourinary system	Aminocaproic acid	CHEBI:16586	HP:0000119	['AMINOCAPROIC ACID']	['NEOPLASTIC DISEASES OF THE GENITOURINARY SYSTEM', 'NONSURGICAL HEMATURIA (ACCOMPANYING POLYCYSTIC OR NEOPLASTIC DISEASES OF THE GENITOURINARY SYSTEM)', 'NONSURGICAL HEMATURIA ACCOMPANYING NEOPLASTIC DISEASES OF THE GENITOURINARY SYSTEM', 'NONSURGICAL HEMATURIA ACCOMPANYING POLYCYSTIC DISEASES OF THE GENITOURINARY SYSTEM', 'POLYCYSTIC DISEASES OF THE GENITOURINARY SYSTEM']
HP:0000119|CHEBI:3498	Abnormality of the genitourinary system	CEFOTAXIME SODIUM	CHEBI:3498	HP:0000119	['CEFOTAXIME']	['GENITOURINARY INFECTIONS']
HP:0000119|CHEBI:4846	Abnormality of the genitourinary system	ERYTHROMYCIN ESTOLATE	CHEBI:4846	HP:0000119	['ERYTHROMYCIN', 'ERYTHROMYCIN ']	['UROGENITAL INFECTIONS DURING PREGNANCY']
HP:0000119|CHEBI:5781	Abnormality of the genitourinary system	HYDROCORTISONE SODIUM PHOSPHATE	CHEBI:5781	HP:0000119	['HYDROCORTISONE']	['AS ADJUNCTIVE THERAPY IN THE TREATMENT OF GENITOURINARY DISEASES']
HP:0000119|CHEBI:6888	Abnormality of the genitourinary system	Methylprednisolone	CHEBI:6888	HP:0000119	['METHYLPREDNISOLONE']	['INFLAMMATORY CONDITIONS OF THE GENITOURINARY SYSTEM', 'INFLAMMATORY CONDITIONS OF THE UROGENITAL SYSTEM']
HP:0000119|CHEBI:9984	Abnormality of the genitourinary system	vincaleukoblastine sulfate	CHEBI:9984	HP:0000119	['VINBLASTINE']	['ANN ARBOR MODIFICATION OF RYE STAGING SYSTEM)']
HP:0000132|CHEBI:16469	Menorrhagia	Estradiol	CHEBI:16469	HP:0000132	['ESTRADIOL, DIENOGEST', 'ESTRADIOL, ELAGOLIX, NORETHINDRONE']	['HEAVY MENSTRUAL BLEEDING']
HP:0000132|CHEBI:18420	Menorrhagia	Magnesium cation	CHEBI:18420	HP:0000132	['CALCIUM CATION, NIACINAMIDE, FOLIC ACID, MANGANESE CATION (2+), IRON, THIAMINE ION, CUPRIC CATION, RIBOFLAVIN, ASCORBIC ACID, ZINC CATION, CYANOCOBALAMIN, MAGNESIUM CATION, PYRIDOXINE']	['MENORRHAGIA']
HP:0000132|CHEBI:48669	Menorrhagia	Tranexamic acid	CHEBI:48669	HP:0000132	['TRANEXAMIC ACID']	['CYCLIC HEAVY MENSTRUAL BLEEDING']
HP:0000132|CHEBI:4903	Menorrhagia	Ethinylestradiol	CHEBI:4903	HP:0000132	['ETHINYL ESTRADIOL, LEVOMEFOLIC ACID, DROSPIRENONE']	['HEAVY MENSTRUAL BLEEDING']
HP:0000132|CHEBI:49544	Menorrhagia	Chromic cation	CHEBI:49544	HP:0000132	['CALCIUM CATION, NIACINAMIDE, FOLIC ACID, VITAMIN A, MANGANESE CATION (2+), THIAMINE ION, FERROUS CATION, .ALPHA.-TOCOPHEROL, DL-, CHROMIC CATION, RIBOFLAVIN, ASCORBIC ACID, ZINC CATION, CYANOCOBALAMIN, MAGNESIUM CATION, MOLYBDENUM, PYRIDOXINE, SELENIUM, CHOLECALCIFEROL']	['MENORRHAGIA']
HP:0000132|CHEBI:6443	Menorrhagia	Levonorgestrel	CHEBI:6443	HP:0000132	['LEVONORGESTREL']	['HEAVY MENSTRUAL BLEEDING', 'HYPERMENORRHEA']
HP:0000132|CHEBI:6710	Menorrhagia	Meclofenamic acid	CHEBI:6710	HP:0000132	['MECLOFENAMIC ACID']	['IDIOPATHIC HEAVY MENSTRUAL BLOOD LOSS']
HP:0000132|CHEBI:8382	Menorrhagia	Prednisone	CHEBI:8382	HP:0000132	['PREDNISONE']	['MENORRHAGIA']
HP:0000132|RXCUI:1119566	Menorrhagia	ascorbic acid / cholecalciferol / cuprous oxide / folic acid / magnesium oxide / niacin / polysaccharide iron complex / potassium iodide / pyridoxine / riboflavin / thiamine / vitamin A / vitamin B12 / vitamin E / zinc oxide Oral Capsule	RXCUI:1119566	HP:0000132	['CALCIUM CATION, VITAMIN A, FERROUS CATION, BORON, RIBOFLAVIN, ASCORBIC ACID, CUPROUS OXIDE, PANTOTHENIC ACID, BIOTIN, THIAMINE ION, NIACIN, ZINC CATION, CYANOCOBALAMIN, IODIDE ION, MOLYBDENUM, FOLIC ACID, POTASSIUM CATION, MAGNESIUM CATION, PYRIDOXINE, SELENIUM, CHOLECALCIFEROL, NIACINAMIDE, MANGANESE CATION (2+), .ALPHA.-TOCOPHEROL, DL-']	['MENORRHAGIA']
HP:0000132|RXCUI:1305198	Menorrhagia	alpha tocopherol / ascorbic acid / biotin / dexpanthenol / ergocalciferol / folic acid / niacinamide / pyridoxine / riboflavin / thiamine / vitamin A / vitamin B12 / vitamin K1 Injectable Solution	RXCUI:1305198	HP:0000132	['VITAMIN A, FERROUS CATION, RIBOFLAVIN, ASCORBIC ACID, PANTOTHENIC ACID, BIOTIN, ZINC OXIDE, THIAMINE ION, CUPRIC CATION, CYANOCOBALAMIN, FOLIC ACID, MAGNESIUM CATION, CHROMIUM CR-51, PYRIDOXINE, SELENOMETHIONINE, NIACINAMIDE, MANGANESE CATION (2+), FLAVONE, .ALPHA.-TOCOPHEROL']	['HEAVY MENSTRUAL BLEEDING']
HP:0000132|RXCUI:2556795	Menorrhagia	Myfembree Pill	RXCUI:2556795	HP:0000132	['ESTRADIOL, RELUGOLIX, NORETHINDRONE']	['HEAVY MENSTRUAL BLEEDING ASSOCIATED WITH UTERINE LEIOMYOMAS (FIBROIDS)']
HP:0000132|UNII:P76B05O5V6	Menorrhagia	Relugolix	UNII:P76B05O5V6	HP:0000132	['RELUGOLIX']	['MENORRHAGIA']
HP:0000134|CHEBI:16469	Female hypogonadism	Estradiol	CHEBI:16469	HP:0000134	['ESTRADIOL']	['FEMALE HYPOGONADISM']
HP:0000134|DRUGBANK:DB09381	Female hypogonadism	Esterified estrogens	DRUGBANK:DB09381	HP:0000134	['ESTROGENS, ESTERIFIED']	['FEMALE HYPOGONADISM']
HP:0000155|CHEBI:4724	Oral ulcer	Dyclonine	CHEBI:4724	HP:0000155	['DYCLONINE']	['ORAL ULCERS']
HP:0000155|CHEBI:78540	Oral ulcer	Apremilast	CHEBI:78540	HP:0000155	['APREMILAST']	['ORAL ULCERS ASSOCIATED WITH BEHÇET\\S DISEASE']
HP:0000217|CHEBI:3568	Xerostomia	Cevimeline	CHEBI:3568	HP:0000217	['CEVIMELINE']	['SJÖGREN’S SYNDROME (DRY MOUTH)']
HP:0000217|CHEBI:8207	Xerostomia	Pilocarpine	CHEBI:8207	HP:0000217	['PILOCARPINE', 'PILOCARPINE HYDROCHLORIDE']	['DRY MOUTH (CAUSED BY SJOGREN’S SYNDROME)', 'DRY MOUTH (SJOGRENS SYNDROME)', 'DRY MOUTH (SJOGREN’S SYNDROME)', 'SJÖGREN’S SYNDROME (ORAL DRYNESS)']
HP:0000224|CHEBI:59936	Hypogeusia	ciprofloxacin hydrochloride hydrate	CHEBI:59936	HP:0000224	['ZINC HISTIDINE HYDRATE']	['HYPOGEUSIA']
HP:0000225|CHEBI:22652	Gingival bleeding	Ascorbic acid	CHEBI:22652	HP:0000225	['ASCORBIC ACID']	['BLEEDING GUMS']
HP:0000225|CHEBI:29034	Gingival bleeding	Ferric cation	CHEBI:29034	HP:0000225	['FERRIC CATION']	['BLEEDING', 'MINOR BLEEDING']
HP:0000225|CHEBI:32107	Gingival bleeding	ROXATIDINE ACETATE HYDROCHLORIDE	CHEBI:32107	HP:0000225	['ROXATIDINE ACETATE HYDROCHLORIDE']	['BLEEDING']
HP:0000225|CHEBI:49470	Gingival bleeding	Aluminum cation	CHEBI:49470	HP:0000225	['ALUMINUM CATION']	['GINGIVAL BLEEDING']
HP:0000225|CHEBI:6446	Gingival bleeding	levothyroxine sodium anhydrous	CHEBI:6446	HP:0000225	['ANHYDROUS CITRIC ACID, CHLORIDE ION, SODIUM CATION']	['INCREASED BLEEDING RISKS']
HP:0000225|CHEBI:7596	Gingival bleeding	Nitroprusside	CHEBI:7596	HP:0000225	['NITROPRUSSIDE']	['BLEEDING']
HP:0000225|CHEMBL.COMPOUND:CHEMBL2108334	Gingival bleeding	Coagulation factor VIIa Recombinant Human	CHEMBL.COMPOUND:CHEMBL2108334	HP:0000225	['HUMAN COAGULATION FACTOR VIII / HUMAN VON WILLEBRAND FACTOR']	['SURGICAL BLEEDING']
HP:0000225|DRUGBANK:DB09222	Gingival bleeding	Fibrinogen human	DRUGBANK:DB09222	HP:0000225	['HUMAN FIBRINOGEN, HUMAN THROMBIN', 'HUMAN THROMBIN, FIBRINOGEN HUMAN']	['BLEEDING', 'BLEEDING IN CARDIOVASCULAR SURGERY', 'BLEEDING IN HEPATIC SURGERY']
HP:0000225|UNII:5PKM8P0G5I	Gingival bleeding	Vonicog alfa	UNII:5PKM8P0G5I	HP:0000225	['VONICOG ALFA']	['SURGICAL BLEEDING']
HP:0000225|UNII:97RWB5S1U6	Gingival bleeding	Idarucizumab	UNII:97RWB5S1U6	HP:0000225	['IDARUCIZUMAB', 'IDARUCIZUMAB ']	['BLEEDING (EMERGENCY SURGERY/URGENT PROCEDURES)', 'BLEEDING (LIFE-THREATENING OR UNCONTROLLED)', 'LIFE-THREATENING OR UNCONTROLLED BLEEDING', 'SERIOUS BLEEDING']
HP:0000225|UNII:A57KX1VL5P	Gingival bleeding	Albutrepenonacog alfa	UNII:A57KX1VL5P	HP:0000225	['COAGULATION FACTOR IX RECOMBINANT HUMAN']	['BLEEDING EPISODES', 'PERIOPERATIVE BLEEDING']
HP:0000225|UNII:BI009E452R	Gingival bleeding	Andexanet alfa	UNII:BI009E452R	HP:0000225	['ANDEXANET ALFA']	['LIFE-THREATENING BLEEDING', 'LIFE-THREATENING OR UNCONTROLLED BLEEDING', 'UNCONTROLLED BLEEDING']
HP:0000255|CHEBI:28918	Acute sinusitis	Epinephrine	CHEBI:28918	HP:0000255	['EPINEPHRINE']	['ACUTE SINUSITIS']
HP:0000255|CHEBI:29688	Acute sinusitis	Telithromycin	CHEBI:29688	HP:0000255	['TELITHROMYCIN']	['ACUTE SINUSITIS']
HP:0000255|CHEBI:3506	Acute sinusitis	Cefprozil	CHEBI:3506	HP:0000255	['CEFPROZIL']	['ACUTE SINUSITIS']
HP:0000255|CHEBI:59936	Acute sinusitis	ciprofloxacin hydrochloride hydrate	CHEBI:59936	HP:0000255	['CIPROFLOXACIN']	['ACUTE SINUSITIS']
HP:0000255|CHEBI:63598	Acute sinusitis	Levofloxacin	CHEBI:63598	HP:0000255	['LEVOFLOXACIN ANHYDROUS']	['ACUTE SINUSITIS']
HP:0000255|CHEBI:9763	Acute sinusitis	Trovafloxacin	CHEBI:9763	HP:0000255	['TROVAFLOXACIN']	['ACUTE SINUSITIS']
HP:0000255|UNII:4W0459ZA4V	Acute sinusitis	cefprozil	UNII:4W0459ZA4V	HP:0000255	['CEFPROZIL ANHYDROUS']	['ACUTE SINUSITIS']
HP:0000270|CHEBI:8485	Delayed cranial suture closure	Proparacaine	CHEBI:8485	HP:0000270	['PROPARACAINE']	['SUTURE REMOVAL']
HP:0000366|CHEBI:2676	Abnormality of the nose	Amoxicillin	CHEBI:2676	HP:0000366	['AMOXICILLIN ANHYDROUS']	['INFECTIONS OF THE NOSE']
HP:0000366|CHEBI:5781	Abnormality of the nose	HYDROCORTISONE SODIUM PHOSPHATE	CHEBI:5781	HP:0000366	['HYDROCORTISONE']	['CERTAIN INFLAMMATORY AND ALLERGIC CONDITIONS OF THE NOSE']
HP:0000371|CHEBI:102484	Acute otitis media	Sulfisoxazole	CHEBI:102484	HP:0000371	['SULFISOXAZOLE, ERYTHROMYCIN']	['ACUTE OTITIS MEDIA']
HP:0000371|CHEBI:116735	Acute otitis media	Benzocaine	CHEBI:116735	HP:0000371	['ANTIPYRINE, BENZOCAINE']	['ACUTE OTITIS MEDIA']
HP:0000371|CHEBI:194135	Acute otitis media	Ofloxacin	CHEBI:194135	HP:0000371	['OFLOXACIN']	['ACUTE OTITIS MEDIA']
HP:0000371|CHEBI:2676	Acute otitis media	Amoxicillin	CHEBI:2676	HP:0000371	['AMOXICILLIN ANHYDROUS', 'CLAVULANIC ACID, AMOXICILLIN']	['ACUTE OTITIS MEDIA']
HP:0000371|CHEBI:2955	Acute otitis media	Azithromycin	CHEBI:2955	HP:0000371	['AZITHROMYCIN ANHYDROUS']	['ACUTE OTITIS MEDIA']
HP:0000371|CHEBI:30742	Acute otitis media	Polyethylene glycol	CHEBI:30742	HP:0000371	['POLYETHYLENE GLYCOL TREATED HUMAN NORMAL IMMUNOGLOBULIN']	['ACUTE OTITIS MEDIA']
HP:0000371|CHEBI:3504	Acute otitis media	Cefpodoxime	CHEBI:3504	HP:0000371	['CEFPODOXIME']	['ACUTE OTITIS MEDIA']
HP:0000371|CHEBI:3514	Acute otitis media	Ceftriaxone disodium salt hemiheptahydrate	CHEBI:3514	HP:0000371	['CEFTRIAXONE']	['ACUTE OTITIS MEDIA']
HP:0000371|CHEBI:3732	Acute otitis media	Clarithromycin	CHEBI:3732	HP:0000371	['CLARITHROMYCIN', 'CROSCARMELLOSE, CLARITHROMYCIN']	['ACUTE OTITIS MEDIA']
HP:0000371|CHEBI:3770	Acute otitis media	CO-TRIMOXAZOLE	CHEBI:3770	HP:0000371	['SULFAMETHOXAZOLE, TRIMETHOPRIM']	['ACUTE OTITIS MEDIA']
HP:0000371|CHEBI:59936	Acute otitis media	ciprofloxacin hydrochloride hydrate	CHEBI:59936	HP:0000371	['CIPROFLOXACIN']	['ACUTE OTITIS MEDIA']
HP:0000371|CHEBI:63598	Acute otitis media	Levofloxacin	CHEBI:63598	HP:0000371	['LEVOFLOXACIN ANHYDROUS']	['ACUTE OTITIS MEDIA']
HP:0000371|CHEBI:6446	Acute otitis media	levothyroxine sodium anhydrous	CHEBI:6446	HP:0000371	['CLAVULANIC ACID, AMOXICILLIN ANHYDROUS', 'CROSCARMELLOSE, AZITHROMYCIN ANHYDROUS, ANHYDROUS LACTOSE']	['ACUTE OTITIS MEDIA']
HP:0000371|CHEBI:8389	Acute otitis media	Conjugated estrogens	CHEBI:8389	HP:0000371	['PNEUMOCOCCAL SACCHARIDE CONJUGATED VACCINE, ADSORBED']	['ACUTE OTITIS MEDIA']
HP:0000371|CHEBI:9328	Acute otitis media	Sulfadiazine	CHEBI:9328	HP:0000371	['SULFADIAZINE']	['ACUTE OTITIS MEDIA']
HP:0000371|RXCUI:404930	Acute otitis media	Ciprodex	RXCUI:404930	HP:0000371	['CIPROFLOXACIN, DEXAMETHASONE']	['ACUTE OTITIS MEDIA']
HP:0000371|UNII:4W0459ZA4V	Acute otitis media	cefprozil	UNII:4W0459ZA4V	HP:0000371	['CEFPROZIL ANHYDROUS']	['ACUTE OTITIS MEDIA']
HP:0000371|UNII:C9R35M8XV6	Acute otitis media	HAEMOPHILUS INFLUENZAE TYPE B STRAIN 20752 CAPSULAR POLYSACCHARIDE TETANUS TOXOID CONJUGATE ANTIGEN	UNII:C9R35M8XV6	HP:0000371	['PNEUMOCOCCAL POLYSACCHARIDE CONJUGATE VACCINE (ADSORBED)']	['ACUTE OTITIS MEDIA']
